ID,Canonical Name,Aliases
S01724,St. Mary's (MI),"St. Mary's of Ave Maria, Orchard Lake, Orchard Lake St. Mary's, Orchard Lake-St. Mary's, Saint Mary's (MI), St. Mary's-Orchard Lake, St. Mary's (Mich.), "
S01725,St. Mary's Pre-Fl,"St. Mary's Pre-Flight, "
S01726,"St. Mary's, Cal.","Saint Mary's, Saint Mary's-CA, St. Mary's (Ca.), St Mary's-CA, St. Mary's (Cal), St. Marys CA, Saint Mary's, Calif., St. Mary's (Calif.), St. Mary's California, St. Mary's, "
S01727,"St. Mary's, KS","Saint Mary (KS), St. Mary's (Kansas), St. Mary (Kan.), St. Mary KS, St. Mary's (KS), St. Mary's (Kan.), Saint Mary (Kan.), Saint Mary, "
S01728,"St. Mary's, MD","St. Mary's (MD), Saint Mary's (MD), "
S01729,"St. Mary's, MN","St. Mary's (Minnesota), St. Mary's (Minn.), Saint Mary's (MN), Saint Mary's (Minn.), St. Mary (Minn.), "
S01730,"St. Mary's, TX","St. Mary's (Texas), St. Mary's (Tex.), Saint Mary`s (Tex.), "
S01731,St. Michael's,"St. Micheal's, St. Micheals, St Michaels, Saint Michael's, "
S01732,St. Norbert,"Saint Norbert, St Norbert, "
S01733,St. Olaf,"Saint Olaf, St. Olaf (MN), "
S01734,St. Paul Cent. H,"St. Paul Central High, "
S01735,St. Paul's (VA),"Saint Paul's (VA), Saint Paul's, St. Paul's, "
S01736,St. Peter's,"Saint Peter's, St Peter's, St. Peters, StPeter, "
S01737,St. Rose,"Saint Rose, "
S01738,St. Scholastica,"St. Scholastica (MN), Saint Scholastica, "
S01739,St. Thomas (MN),"St. Thomas, Minn., St Thomas, Saint Thomas, Minn., "
S01740,St. Viator,
S01741,St. Vincent (PA),"St. Vincent, Saint Vincent, St. Vincent's, "
S01742,"St. Vincent's, CA","St. Vincent's (California), "
S01743,St. Xavier,"St. Xavier (IL), Saint Xavier, St Xavier Ill, Saint Xavier IL, "
S01744,Staats A.C.,
S01745,Stagg's Team,
S01746,Standifer Shipbld,"Standifer Shipbuilders, "
S01747,Stanford,
S01748,Staten Island,
S01749,Steelton A.C.,
S01750,Steelton YMCA,
S01751,Steelton,
S01752,Stephen F.Austin,"Stephen F. Austin, Stephen Austin, Stephen F. Austin State, Ste F Austin, S.F. Austin, SFAustinSt, SFA, "
S01753,Sterling A.C.,
S01754,Sterling,
S01755,Stetson,
S01756,Stevens Tech,"Stevens, "
S01757,Stevenson,
S01758,Stillman,
S01759,Still,
S01760,Stockton Army,
S01761,Stonehill,
S01762,Stony Brook,"SUNY-StonyBrook, Stony Brook-NY, "
S01763,Strayer,"Strayer University, "
S01764,Stroudsburg,
S01765,Sue Bennett,
S01766,Suffolk,
S01767,Suisun Field,
S01768,Sul Ross St.,"Sul Ross St, Sul Ross State, Sul Ross, "
S01769,Superba A.C.,
S01770,Susquehanna,
S01771,Swarthmore Alumni,
S01772,Swarthmore,
S01773,Syracuse A.C.,
S01774,Syracuse AllStars,
S01775,Syracuse,
S01776,East Texas A&M,"TX A&M-Commerce, Texas A&M-Commerce, Texas A&M Commerce, Tex. A&M-Commerce, E. Texas St., E. Texas St, East Texas State, TAM-Commerce, TAMU-Commerce, "
S01777,TX A&M-Kingsville,"Texas A&M-Kingsville, Tex.A&M-Kingsvlle, Texas A&I, TAM-Kingsville, TAMU-Kingsville, Tex A&M Kingsville, TX A&M K'ville, "
S01778,Tabor,
S01779,Talladega,"Talledega, "
S01780,Tampa A.C.,
S01781,Tampa,"University of Tampa, "
S01782,Tarkio,
S01783,Tarleton St.,"Tarleton St, Tarleton State, "
S01784,Taylor,"Taylor (IN), Taylor-Upland, Taylor (Ind.), Taylor-Fort Wayne, Taylor-Ft. Wayne, "
S01785,Post,"Teikyo Post, "
S01786,Teikyo Westmar,"Westmar, "
S01787,Temperance A.C.,
S01788,Temple,
S01789,Tenn. Deaf School,"Tennessee Deaf School, "
S01790,Tenn. Military,"Tennessee Military, "
S01791,Tenn. Wesleyan,"Tennessee Wesleyan, TN Wesleyan, Tenessee Wesleyan, "
S01792,Tenn.-Martin,"Tennessee-Martin, Tenn-Martin, Tenn. Martin, TN Martin, UT Martin, "
S01793,Tennessee Medical,
S01794,Tennessee St.,"Tennessee St, Tennessee State, "
S01795,Tennessee Tech,"Tenn Tech, "
S01796,Tennessee Temple,"Tennessee Temple University, Tenn. Temple, "
S01797,Tennessee-Memphis,
S01798,Tennessee,
S01799,Texas A&M CC,"Texas A&M Corpus Chris, Texas A&M Corpus Christi, Tx A&M Corp Chr, TAMU-CC, TAM C. Christi, Texas A&M-Corpus Chr., TAMU-Corpus Christi, Texas-Corpus Christi, "
S01800,Texas A&M,
S01801,Texas A&M Intl,"Teams A&M Int'l, Texas A&M International, TX A&M-Int, Texas A&M Internationa, Tex. A&M Int'l, "
S01802,TCU,"Texas Christian, Texas Christian U., TX Christian, T-C-U, "
S01803,Texas College,"Texas Coll., Texas Col, "
S01804,Texas Dallas,"UT Dallas, TX Dallas, Dallas, U of (TX), UNT Dallas, "
S01805,Texas Deaf School,
S01806,Texas Lutheran,"TX Lutheran, "
S01807,Texas Military,
S01808,Texas PanAm,"Texas Pan American, TX Pan American, UT-Pan American, Tex.-Pan American, "
